,creditscore,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,France,Germany,Spain
0,619,0,42,2,0.0,1,True,True,101348.88,True,1,0,0
1,608,0,41,1,83807.86,1,False,True,112542.58,False,0,0,1
2,502,0,42,8,159660.8,3,True,False,113931.57,True,1,0,0
3,850,0,43,2,125510.82,1,True,True,79084.1,False,0,0,1
4,645,1,44,8,113755.78,2,True,False,149756.71,True,0,0,1
5,822,1,50,7,0.0,2,True,True,10062.8,False,1,0,0
6,376,0,29,4,115046.74,4,True,False,119346.88,True,0,1,0
7,501,1,44,4,142051.07,2,False,True,74940.5,False,1,0,0
8,684,1,27,2,134603.88,1,True,True,71725.73,False,1,0,0
9,528,1,31,6,102016.72,2,False,False,80181.12,False,1,0,0
10,497,1,24,3,0.0,2,True,False,76390.01,False,0,0,1
11,476,0,34,10,0.0,2,True,False,26260.98,False,1,0,0
12,549,0,25,5,0.0,2,False,False,190857.79,False,1,0,0
13,635,0,35,7,0.0,2,True,True,65951.65,False,0,0,1
14,616,1,45,3,143129.41,2,False,True,64327.26,False,0,1,0
15,653,1,58,1,132602.88,1,True,False,5097.67,True,0,1,0
16,549,0,24,9,0.0,2,True,True,14406.41,False,0,0,1
17,587,1,45,6,97240.2875,1,False,False,158684.81,False,0,0,1
18,726,0,24,6,0.0,2,True,True,54724.03,False,1,0,0
19,732,1,41,8,0.0,2,True,True,170886.17,False,1,0,0
20,636,0,32,8,0.0,2,True,False,138555.46,False,0,0,1
21,510,0,38,4,0.0,1,True,False,118913.53,True,0,0,1
22,669,1,46,3,0.0,2,False,True,8487.75,False,1,0,0
23,846,0,38,5,0.0,1,True,True,187616.16,False,1,0,0
24,577,1,25,3,0.0,1,False,True,124508.29,False,1,0,0
25,756,1,36,2,136815.64,1,True,True,170041.95,False,1,0,0
26,571,1,44,9,0.0,2,False,False,38433.35,False,1,0,0
27,574,0,43,3,141349.43,1,True,True,100187.43,False,0,1,0
28,411,1,29,0,59697.17,2,True,True,53483.21,False,1,0,0
29,591,0,39,3,0.0,3,True,False,140469.38,True,0,0,1
30,533,1,36,7,85311.7,1,False,True,156731.91,False,1,0,0
31,553,1,41,9,110112.54,2,False,False,81898.81,False,0,1,0
32,520,0,42,6,0.0,2,True,True,34410.55,False,0,0,1
33,722,0,29,9,0.0,2,True,True,142033.07,False,0,0,1
34,475,0,45,0,134264.04,1,True,False,27822.99,True,1,0,0
35,490,1,31,3,97240.2875,1,False,True,114066.77,False,0,0,1
36,804,1,33,7,76548.6,1,False,True,98453.45,False,0,0,1
37,850,1,36,7,0.0,1,True,True,40812.9,False,1,0,0
38,582,1,41,6,70349.48,2,False,True,178074.04,False,0,1,0
39,472,1,40,4,0.0,1,True,False,70154.22,False,0,0,1
40,465,0,51,8,122522.32,1,False,False,181297.65,True,1,0,0
41,556,0,61,2,117419.35,1,True,True,94153.83,False,1,0,0
42,834,0,49,2,131394.56,1,False,False,194365.76,True,1,0,0
43,660,0,61,5,155931.11,1,True,True,158338.39,False,0,0,1
44,776,0,32,4,109421.13,2,True,True,126517.46,False,0,1,0
45,829,0,27,9,112045.67,1,True,True,119708.21,True,0,1,0
46,637,0,39,5,137843.8,1,True,True,117622.8,True,0,1,0
47,550,1,38,2,103391.38,1,False,True,90878.13,False,0,1,0
48,776,0,37,2,103769.22,2,True,False,194099.12,False,0,1,0
49,698,1,44,10,116363.37,2,True,False,198059.16,False,0,1,0
50,585,1,36,5,146050.97,2,False,False,86424.57,False,0,1,0
51,788,0,33,5,0.0,2,False,False,116978.19,False,1,0,0
52,655,1,41,8,125561.97,1,False,False,164040.94,True,0,1,0
